datetime,local_datetime,t,tcc,tp,weather_desc,wd,wd_deg,ws,hu,vs,vs_text,image,hour,day_of_year,voltage,weather_code,predicted_voltage
2026-06-08T18:00:00Z,2026-06-09 01:00:00,24,38,0.0,Cerah,N,34,4.4,87,7988,< 8 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,1,160,-2.8806571693977503,1,-3.3632095419552344
2026-06-08T21:00:00Z,2026-06-09 04:00:00,23,100,1.5,Hujan Ringan,NW,357,6.8,92,7992,< 8 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/hujan ringan-pm.svg,4,160,-5.587652860234236,3,-5.400039023457202
2026-06-09T00:00:00Z,2026-06-09 07:00:00,24,90,0.4,Cerah Berawan,NE,69,3.9,94,7996,< 8 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah berawan-am.svg,7,160,-6.500462292379858,2,-5.628412308441007
2026-06-09T03:00:00Z,2026-06-09 10:00:00,26,100,0.0,Berawan,E,115,1.6,90,8007,< 9 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,10,160,-3.415394028718392,0,-3.6065782409407436
2026-06-09T06:00:00Z,2026-06-09 13:00:00,28,53,1.9,Hujan Ringan,SW,229,3.3,76,8005,< 9 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/hujan ringan-am.svg,13,160,5.343169325055335,3,4.5587742237155595
2026-06-09T09:00:00Z,2026-06-09 16:00:00,24,91,1.2,Hujan Ringan,W,310,7.5,95,8008,< 9 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/hujan ringan-am.svg,16,160,-6.096827391389834,3,-5.4624801657722655
2026-06-09T12:00:00Z,2026-06-09 19:00:00,25,100,0.1,Berawan,W,295,1.6,93,7996,< 8 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,19,160,-5.7041574368985195,0,-4.942027450401025
2026-06-09T15:00:00Z,2026-06-09 22:00:00,24,99,0.0,Berawan,NE,72,1.4,87,7991,< 8 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,22,160,-3.7265130541694127,0,-3.3714285360948573
2026-06-09T18:00:00Z,2026-06-10 01:00:00,24,100,0.0,Berawan,N,3,2.3,86,7991,< 8 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,1,161,-3.203894877186986,0,-2.4930511380761224
2026-06-09T21:00:00Z,2026-06-10 04:00:00,25,99,0.0,Berawan,NE,83,1.5,79,7991,< 8 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,4,161,1.0585120087171909,0,0.9347158678212498
2026-06-10T00:00:00Z,2026-06-10 07:00:00,25,100,0.0,Berawan,NE,76,1.4,85,7984,< 8 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,7,161,-2.1726835385624916,0,-2.317680172811439
2026-06-10T03:00:00Z,2026-06-10 10:00:00,27,100,0.0,Berawan,SW,268,4.0,82,7992,< 8 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,10,161,1.7068540492859476,0,1.469100330069747
2026-06-10T06:00:00Z,2026-06-10 13:00:00,28,99,0.0,Berawan,SW,268,4.0,77,7992,< 8 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,13,161,5.148392454313209,0,4.212565285907268
2026-06-10T09:00:00Z,2026-06-10 16:00:00,27,100,0.0,Berawan,NE,60,1.8,79,7996,< 8 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-am.svg,16,161,2.2573439510684423,0,2.2734357804277203
2026-06-10T12:00:00Z,2026-06-10 19:00:00,25,99,0.0,Berawan,NE,60,1.8,86,7996,< 8 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,19,161,-2.8049835665026066,0,-2.672937429098464
2026-06-10T15:00:00Z,2026-06-10 22:00:00,24,99,0.0,Berawan,NE,64,2.4,83,7995,< 8 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/berawan-pm.svg,22,161,-1.6924575058481928,0,-0.9951620885056971
2026-06-10T18:00:00Z,2026-06-11 01:00:00,23,80,0.0,Cerah Berawan,NE,64,2.4,79,7995,< 8 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah berawan-pm.svg,1,162,-0.5825662240668841,2,0.07711541485833713
2026-06-10T21:00:00Z,2026-06-11 04:00:00,23,41,0.0,Cerah,NE,57,3.3,75,7986,< 8 km,https://api-apps.bmkg.go.id/storage/icon/cuaca/cerah-pm.svg,4,162,1.952849466519055,1,1.652086353916222
